S/N,Date,Time_out_of_home,Time_in_for_work,Time_out_of_work,Time_back_home,Transport_medium,Amount_spent,Time spent going to work,Time spent going home,Total time spent on transport,
1,1/9/2023,6:33:00 AM,9:24:00 AM,4:30:00 PM,9:10:00 PM,Tata,1350,2:51,4:40,7:31,
2,1/10/2023,6:26:00 AM,9:04:00 AM,4:10:00 PM,8:50:00 PM,Tata,1150,2:38,4:40,7:18,
3,1/11/2023,6:30:00 AM,8:24:00 AM,4:25:00 PM,8:30:00 PM,Tata,1100,1:54,4:05,5:59,
4,1/12/2023,6:28:00 AM,8:20:00 AM,4:18:00 PM,8:20:00 PM,BRT,1200,1:52,4:02,5:54,
5,1/13/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,7:46:00 PM,BRT,1250,2:01,3:19,5:20,
6,1/16/2023,6:26:00 AM,9:04:00 AM,4:10:00 PM,8:50:00 PM,Tata,1150,2:38,4:40,7:18,
7,1/17/2023,6:30:00 AM,8:24:00 AM,4:25:00 PM,9:00:00 PM,Tata,1100,1:54,4:35,6:29,
8,1/18/2023,6:28:00 AM,8:20:00 AM,4:18:00 PM,7:53:00 PM,BRT,1200,1:52,3:35,5:27,
9,1/19/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,2:01,4:03,6:04,
10,1/20/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,2:01,4:03,6:04,
11,1/23/2023,6:26:00 AM,9:04:00 AM,4:10:00 PM,7:50:00 PM,Tata,1150,2:38,3:40,6:18,
12,1/24/2023,6:30:00 AM,8:24:00 AM,4:25:00 PM,9:00:00 PM,Tata,1100,1:54,4:35,6:29,
13,1/25/2023,6:28:00 AM,8:20:00 AM,4:18:00 PM,8:50:00 PM,BRT,1200,1:52,4:32,6:24,
14,1/26/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,2:01,4:03,6:04,
15,1/27/2023,6:50:00 AM,8:40:00 AM,4:27:00 PM,8:12:00 PM,BRT,1250,1:50,3:45,5:35,
16,1/30/2023,6:29:00 AM,8:40:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,2:11,4:03,6:14,
17,1/31/2023,6:26:00 AM,9:04:00 AM,4:10:00 PM,8:54:00 PM,Tata,1150,2:38,4:44,7:22,
18,2/1/2023,6:30:00 AM,8:24:00 AM,4:25:00 PM,8:00:00 PM,Tata,1100,1:54,3:35,5:29,
19,2/2/2023,6:28:00 AM,8:20:00 AM,4:18:00 PM,8:50:00 PM,BRT,1200,1:52,4:32,6:24,
20,2/3/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,2:01,4:03,6:04,
21,2/6/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,7:30:00 PM,BRT,1250,2:01,3:03,5:04,
22,2/7/2023,6:28:00 AM,8:20:00 AM,4:18:00 PM,8:50:00 PM,BRT,1200,1:52,4:32,6:24,
23,2/8/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,7:30:00 PM,BRT,1250,2:01,3:03,5:04,
24,2/9/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,2:01,4:03,6:04,
25,2/10/2023,6:28:00 AM,8:20:00 AM,4:18:00 PM,8:50:00 PM,BRT,1200,1:52,4:32,6:24,
26,2/13/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,8:27:00 PM,BRT,1250,2:01,4:00,6:01,
27,2/14/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,2:01,4:03,6:04,
28,2/15/2023,6:26:00 AM,8:25:00 AM,4:10:00 PM,7:50:00 PM,BRT,1250,1:59,3:40,5:39,
29,2/16/2023,6:33:00 AM,8:38:00 AM,4:15:00 PM,8:29:00 PM,BRT,1350,2:05,4:14,6:19,
30,2/17/2023,6:45:00 AM,8:48:00 AM,4:05:00 PM,8:05:00 PM,BRT,1050,2:03,4:00,6:03,
31,2/20/2023,7:00:00 AM,8:15:00 AM,4:03:00 PM,8:03:00 PM,BRT,1250,1:15,4:00,5:15,
32,2/21/2023,6:31:00 AM,8:22:00 AM,4:08:00 PM,8:43:00 PM,BRT,1150,1:51,4:35,6:26,
33,2/22/2023,6:44:00 AM,8:52:00 AM,4:30:00 PM,7:30:00 PM,BRT,1250,2:08,3:00,5:08,
34,2/23/2023,6:30:00 AM,9:04:00 AM,4:10:00 PM,8:50:00 PM,BRT,1150,2:34,4:40,7:14,
35,2/24/2023,7:10:00 AM,8:03:00 AM,4:02:00 PM,8:08:00 PM,BRT,1300,0:53,4:06,4:59,
36,2/27/2023,6:28:00 AM,8:39:00 AM,4:30:00 PM,8:50:00 PM,BRT,1200,2:11,4:20,6:31,
37,2/28/2023,6:39:00 AM,7:33:00 AM,4:05:00 PM,8:30:00 PM,BRT,1250,0:54,4:25,5:19,
38,3/1/2023,6:31:00 AM,8:15:00 AM,4:11:00 PM,6:50:00 PM,BRT,1050,1:44,2:39,4:23,
39,3/2/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,2:01,4:03,6:04,
40,3/3/2023,6:26:00 AM,9:04:00 AM,4:10:00 PM,8:50:00 PM,Tata,1150,2:38,4:40,7:18,
41,3/6/2023,6:30:00 AM,8:24:00 AM,4:25:00 PM,9:00:00 PM,Tata,1100,1:54,4:35,6:29,
42,3/7/2023,6:40:00 AM,8:15:00 AM,4:24:00 PM,7:50:00 PM,BRT,1100,1:35,3:26,5:01,
43,3/8/2023,6:33:00 AM,8:03:00 AM,4:11:00 PM,8:38:00 PM,BRT,1150,1:30,4:27,5:57,
44,3/9/2023,6:39:00 AM,7:59:00 AM,4:20:00 PM,6:57:00 PM,BRT,1250,1:20,2:37,3:57,
45,3/10/2023,6:28:00 AM,8:20:00 AM,4:18:00 PM,8:50:00 PM,BRT,1200,1:52,4:32,6:24,
46,3/13/2023,6:39:00 AM,8:40:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,2:01,4:03,6:04,
47,3/14/2023,6:37:00 AM,8:03:00 AM,4:15:00 PM,8:00:00 PM,BRT,1250,1:26,3:45,5:11,
48,3/15/2023,6:29:00 AM,8:00:00 AM,4:18:00 PM,8:04:00 PM,BRT,1050,1:31,3:46,5:17,
49,3/16/2023,6:50:00 AM,8:12:00 AM,4:06:00 PM,7:19:00 PM,BRT,1150,1:22,3:13,4:35,
50,3/17/2023,6:26:00 AM,7:39:00 AM,4:10:00 PM,7:50:00 PM,Tata,1150,1:13,3:40,4:53,
51,3/20/2023,6:27:00 AM,8:21:00 AM,4:18:00 PM,8:25:00 PM,BRT,1300,1:54,4:07,6:01,
52,3/21/2023,6:25:00 AM,7:24:00 AM,4:12:00 PM,6:05:00 PM,BRT,1300,0:59,1:53,2:52,
53,3/22/2023,6:37:00 AM,8:20:00 AM,4:15:00 PM,8:04:00 PM,BRT,1300,1:43,3:49,5:32,
54,3/23/2023,6:30:00 AM,7:14:00 AM,4:10:00 PM,8:00:00 PM,BRT,1150,0:44,3:50,4:34,
55,3/24/2023,6:15:00 AM,8:12:00 AM,4:25:00 PM,9:00:00 PM,BRT,1100,1:57,4:35,6:32,
56,3/27/2023,6:50:00 AM,7:59:00 AM,4:35:00 PM,8:50:00 PM,BRT,1200,1:09,4:15,5:24,
57,3/28/2023,6:39:00 AM,8:02:00 AM,4:27:00 PM,6:40:00 PM,BRT,1200,1:23,2:13,3:36,
58,3/29/2023,6:25:00 AM,8:40:00 AM,4:14:00 PM,8:14:00 PM,BRT,1250,2:15,4:00,6:15,
59,3/30/2023,6:43:00 AM,8:20:00 AM,4:27:00 PM,7:18:00 PM,BRT,1250,1:37,2:51,4:28,
60,4/3/2023,7:26:00 AM,9:04:00 AM,4:10:00 PM,8:50:00 PM,BRT,1150,1:38,4:40,6:18,
61,4/4/2023,6:33:00 AM,8:13:00 AM,4:35:00 PM,8:05:00 PM,BRT,1300,1:40,3:30,5:10,
62,4/5/2023,7:10:00 AM,8:14:00 AM,4:05:00 PM,8:39:00 PM,BRT,1100,1:04,4:34,5:38,
63,4/11/2023,6:39:00 AM,8:22:00 AM,4:15:00 PM,6:35:00 PM,BRT,1200,1:43,2:20,4:03,
64,4/12/2023,6:28:00 AM,8:35:00 AM,4:09:00 PM,8:50:00 PM,BRT,1200,2:07,4:41,6:48,
65,4/17/2023,6:39:00 AM,8:39:00 AM,4:27:00 PM,7:05:00 PM,BRT,1250,2:00,2:38,4:38,
66,4/18/2023,6:39:00 AM,8:20:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,1:41,4:03,5:44,
67,4/19/2023,6:32:00 AM,8:20:00 AM,4:03:00 PM,8:44:00 PM,BRT,1050,1:48,4:41,6:29,
68,4/24/2023,6:40:00 AM,8:40:00 AM,4:06:00 PM,6:30:00 PM,BRT,1150,2:00,2:24,4:24,
69,4/25/2023,6:40:00 AM,8:26:00 AM,4:27:00 PM,7:30:00 PM,BRT,1200,1:46,3:03,4:49,
70,4/26/2023,7:26:00 AM,9:04:00 AM,4:10:00 PM,8:50:00 PM,Tata,1150,1:38,4:40,6:18,
71,5/1/2023,6:30:00 AM,7:54:00 AM,4:25:00 PM,9:00:00 PM,BRT,1100,1:24,4:35,5:59,
72,5/2/2023,6:28:00 AM,7:39:00 AM,4:18:00 PM,8:15:00 PM,BRT,1250,1:11,3:57,5:08,
73,5/3/2023,6:29:00 AM,8:00:00 AM,4:17:00 PM,7:32:00 PM,BRT,1300,1:31,3:15,4:46,
74,5/8/2023,6:18:00 AM,8:07:00 AM,4:08:00 PM,8:50:00 PM,BRT,1200,1:49,4:42,6:31,
75,5/9/2023,6:40:00 AM,8:47:00 AM,4:06:00 PM,8:35:00 PM,BRT,1350,2:07,4:29,6:36,
76,5/10/2023,6:41:00 AM,8:23:00 AM,4:10:00 PM,7:50:00 PM,BRT,1250,1:42,3:40,5:22,
77,5/15/2023,6:31:00 AM,8:26:00 AM,4:18:00 PM,8:23:00 PM,BRT,1350,1:55,4:05,6:00,
78,5/16/2023,6:29:00 AM,8:14:00 AM,4:13:00 PM,7:30:00 PM,BRT,1250,1:45,3:17,5:02,
79,5/17/2023,6:39:00 AM,8:34:00 AM,4:14:00 PM,8:50:00 PM,BRT,1350,1:55,4:36,6:31,
80,5/22/2023,6:38:00 AM,8:45:00 AM,4:06:00 PM,7:48:00 PM,BRT,1150,2:07,3:42,5:49,
81,5/23/2023,6:28:00 AM,8:20:00 AM,4:18:00 PM,8:30:00 PM,BRT,1200,1:52,4:12,6:04,
82,5/24/2023,6:46:00 AM,8:40:00 AM,4:27:00 PM,8:30:00 PM,BRT,1250,1:54,4:03,5:57,
83,5/29/2023,6:36:00 AM,8:04:00 AM,4:16:00 PM,8:32:00 PM,BRT,1400,1:28,4:16,5:44,
84,5/30/2023,6:35:00 AM,8:09:00 AM,4:28:00 PM,9:05:00 PM,BRT,1350,1:34,4:37,6:11,
85,5/31/2023,6:39:00 AM,8:40:00 AM,4:00:00 PM,8:30:00 PM,BRT,1250,2:01,4:30,6:31,
